municipalityId,countyId,id,validFrom,temp
3454,34,SN54710,1967-01-01/2021-03-01,0.124053628
5042,50,SN73210,2014-12-01/2021-03-01,1.380341377
3045,30,SN26350,2014-01-21/2021-03-01,4.953250774
3443,34,SN11690,2011-01-01/2021-03-01,3.861673414
4651,46,SN58900,1993-11-01/2021-03-01,5.709000215
2100,21,SN99910,1974-07-26/2021-03-01,-4.754042929
1124,11,SN44554,2006-01-01/2021-03-01,3.3
1840,18,SN81760,2016-11-14/2021-03-01,-0.098181818
4644,46,SN55670,1972-09-01/2021-03-01,3.3
1806,18,SN84380,2012-01-01/2021-03-01,5.687418301
4201,42,SN35340,1968-02-01/2021-03-01,3.3
301,3,SN18410,2011-01-01/2021-03-01,6.881678411
5025,50,SN10380,1957-08-01/2021-03-01,1.310771042
3042,30,SN25112,2006-12-06/2021-03-01,2.739867598
3805,38,SN30244,2013-06-11/2021-03-01,7.358310249
3436,34,SN13655,2011-06-08/2021-03-01,1.363731007
5418,54,SN89350,1940-07-01/2021-03-01,1.222220198
1845,18,SN82720,2016-12-21/2021-03-01,-0.226522593
4611,46,SN47730,2018-01-23/2021-03-01,9.114927048
5437,54,SN97120,2013-07-22/2021-03-01,-0.26004502
1535,15,SN61062,2019-10-23/2021-03-01,3.3
2100,21,SN99874,2019-09-26/2021-03-01,-6.681573896
3434,34,SN15270,1999-09-17/2021-03-01,-3.462147325
5043,50,SN74780,2019-09-01/2021-03-01,0.136234818
5435,54,SN94805,2013-07-22/2021-03-01,3.779040736
5418,54,SN90050,2012-01-03/2021-03-01,3.3
